,gendered,neutral,correct
442,Todos los ponentes al congreso contará con un regalo,Cada ponente al congreso contará con un regalo,False
452,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los especializados en este caso,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
458,Cuando Las personas beneficiarias de una asignación por minusvalía fallezcan sin que se reúnan las condiciones se aplicará el protocolo,Cuando Las personas beneficiarias de una asignación por minusvalía fallezcan sin que se reúnan las condiciones se aplicará el protocolo,False
462,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especialistas en este caso,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
463,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con las enfermeras,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario,False
469,Podrá solicitar la beca todo estudiante esté matriculado en la Universidad de Jaén.,Podrá solicitar la beca todo estudiante se haya matriculado en la Universidad de Jaén.,False
506,Estas herramientas permitirán que los administrativos trabaje con más rapidez,Estas herramientas permitirán que el personal administrativo trabaje con más rapidez,False
508,Para ser catedrático se requiere ser constante,Para obtener una cátedra se requiere ser constante,False
510,Todos los ponentes al congreso recibirá un regalo,Cada ponente al congreso recibirá un regalo,False
511,"los organizadores de los programas sabían que , para ser efectivos , era necesario acompañar la participación","la organización de los programas sabía que , para ser efectivos , era necesario acompañar la participación",False
520,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los especialistas,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto,False
539,Nosotras abogamos por una universidad gratis,Abogamos por una universidad gratis,False
540,"El 90% votó a favor , las otras se abstuvo","El 90% votó a favor , el resto se abstuvo",False
556,las estudiantes de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,el estudiantado de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,False
570,Establecer un protocolo de actuación para todos las profesoras de manera justa,Establecer un protocolo de actuación para todo el profesorado de manera justa,False
571,Cada uno,Cada cual,False
589,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los expertos de nuestro centro,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal especializado de nuestro centro,False
595,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por los especialistas de nuestro centro,El tiempo que esté aquí no debe tomar vitaminas que no le sea suministrada por el personal experto de nuestro centro,False
613,Todos los asistentes al congreso obtendrá una carpeta con materiales,Cada asistente al congreso obtendrá una carpeta con materiales,False
619,Todos los ponentes al viaje obtendrá una acreditación,Cada ponente al viaje obtendrá una acreditación,False
623,Todos los ponentes al curso contará con un regalo,Cada ponente al curso contará con un regalo,False
638,"Esto significa que si uno de los padres tiene el TD o el gen del TD , existe una probabilidad del 50 por ciento de que transmita el gen en cada embarazo a","Esto significa que si uno de los padres tiene el TD o el gen del TD , existe una probabilidad del 50 por ciento de que transmita el gen en cada embarazo a",False
650,Tenemos que cubrir las carencias que tiene el personal promotor contratando personal con un perfil diferente para compensar los errores pasados,Tenemos que cubrir las carencias que tiene el personal promotor contratando personal con un perfil diferente para compensar los errores pasados,False
693,Todos los ponentes al congreso contará con una carpeta con materiales,Cada ponente al congreso contará con una carpeta con materiales,False
712,Puede hombre diferenciar el bien del mal?,Se puede diferenciar el bien del mal?,False
716,las clientas deberá acudir a recepción en primer lugar.,la clientela deberá acudir a recepción en primer lugar.,False
722,Curso de idioma dirigidos a aquellas aprender a comunicarse con fluidez,Curso de idioma dirigidos a quienes quieran aprender a comunicarse con fluidez,False
734,Todas tenemos,Cada persona tiene,False
750,Todos los asistentes al congreso obtendrá un diploma,Cada asistente al congreso obtendrá un diploma,False
753,Todos los asistentes al curso recibirá una carpeta con materiales,Cada asistente al curso recibirá una carpeta con materiales,False
771,Anímate hazte socio y colabora con nuestro reto,Anímate asóciate y colabora con nuestro reto,False
773,Otro campo de actuación importante han sido los hospitales dónde se trabaja con las enfermeras,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal sanitario,False
780,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los expertos en su cirugía,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal especializado en su cirugía,False
781,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal médico de manera estrecha,False
794,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con los enfermeros de manera estrecha,Otro campo de actuación importante han sido los hospitales públicos dónde se trabaja con el personal sanitario de manera estrecha,False
795,Estas herramientas permitirán que los administrativos trabaje con más eficacia,Estas herramientas permitirán que el personal administrativo trabaje con más eficacia,False
798,"¿Cómo cabe esperar que la situación empeore si los encargados , las encargadas de valorar las estimaciones apenas tiene en cuenta este aspecto?",¿Cómo cabe esperar que la situación empeore si el personal encargado de valorar las estimaciones apenas tiene en cuenta este aspecto?,False
811,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal sanitario,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal sanitario,False
815,¿ alguna quiere salir a la pizarra?,¿ quién quiere salir a la pizarra?,False
817,Todos los ponentes al congreso contará con un dossier explicativo,Cada ponente al congreso contará con un dossier explicativo,False
822,Todos los ponentes al curso contará con un diploma,Cada ponente al curso contará con un diploma,False
839,Disfruto seáis vosotros quienes me lea algo,Disfruto alguien me lea algo,False
852,Los intermediarios del acuerdo se ocuparán también de saber si la oficina tiene todas sus cuentas al día y si no hay cargas,Las personas intermediarias del acuerdo se ocuparán también de saber si la oficina tiene todas sus cuentas al día y si no hay cargas,False
853,Todos tenemos nuestros derechos,Los humanos tenemos nuestros derechos,False
854,Los periódicos podrán hacer difusión haciendo constar siempre la procedencia y el autor de las encuestas,Los periódicos podrán hacer difusión haciendo constar siempre la procedencia y la autoría de las encuestas,False
855,No es exagerado decir que carga con una larga historia de mala fama entre los electores y la prensa nacional,No es exagerado decir que carga con una larga historia de mala fama entre el electorado y la prensa nacional,False
856,Participaron unos veintitrés participantes,Participaron veintitrés participantes,False
857,Todos los asistentes al congreso contará con un dossier explicativo,Cada asistente al congreso contará con un dossier explicativo,False
860,Todos los ponentes al viaje recibirá una carpeta con materiales,Cada ponente al viaje recibirá una carpeta con materiales,False
890,Disfruto seáis vosotros quienes me lea algo,Disfruto alguna persona me lea algo,False
895,La revista se revisa profesionales cualificadas,La revista se revisa profesionales con cualificación,False
900,Las páginas web podrán publicar sin olvidar nunca la procedencia y el autor de los ensayos filosóficos,Las páginas web podrán publicar sin olvidar nunca la procedencia y la autoría de los ensayos filosóficos,False
901,Podrá solicitar la beca todo estudiante esté matriculada en la Universidad de Jaén.,Podrá solicitar la beca todo estudiante con matrícula en la Universidad de Jaén.,False
903,"Para , hay un 50% de probabilidad de que si es varón tenga hemofilia y un 50% de probabilidad de que si es mujer sea portadora del gen.","Para , hay un 50% de probabilidad de que si es varón tenga hemofilia y un 50% de probabilidad de que si es mujer sea portadora del gen.",False
915,Debe figurar el nombre de la ocupante la plaza,Debe figurar el nombre de quien ocupa la plaza,False
919,Todos los ponentes al curso recibirá un diploma,Cada ponente al curso recibirá un diploma,False
924,Todos tenemos ser respetuosos,Cada persona tiene ser respetuosos,False
929,Todos los ponentes al viaje recibirá una acreditación,Cada ponente al viaje recibirá una acreditación,False
933,Estos servicios permitirán que los administrativos trabaje con más rapidez,Estos servicios permitirán que el personal administrativo trabaje con más rapidez,False
934,los equipos de trabajo funcionan únicamente como vehículo para que alguno pueda hacerse con el control o mantenerse con él,los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
952,Todos los asistentes al curso contará con un dossier explicativo,Cada asistente al curso contará con un dossier explicativo,False
965,Todos los ponentes al viaje contará con una acreditación,Cada ponente al viaje contará con una acreditación,False
966,las asistentes a la función deberá llegar temprano,quien asista a la función deberá llegar temprano,False
968,Otro campo de actuación importante fueron los hospitales dónde se trabaja con las enfermeras de manera estrecha,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal sanitario de manera estrecha,False
973,La revista se revisa profesionales cualificados,La revista se revisa profesionales con cualificación,False
975,"Estos proyectos se desarrollan en todo el espectro de interacciones entre los funcionarios y el público , ya sea en el gobierno , admisión escolar entre otros","Estos proyectos se desarrollan en todo el espectro de interacciones entre el funcionariado y el público , ya sea en el gobierno , admisión escolar entre otros",False
979,Todos los asistentes al congreso obtendrá una acreditación,Cada asistente al congreso obtendrá una acreditación,False
994,Los formadores Alejandro y Manuel impartirán la asignatura de Química.,Los formadores Alejandro y Manuel impartirán la asignatura de Química.,False
1000,Curso de idioma dirigidos a aquellos aprender a comunicarse con fluidez,Curso de idioma dirigidos a quienes quieran aprender a comunicarse con fluidez,False
1009,"Con demasiada frecuencia , los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el poder","Con demasiada frecuencia , los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder",False
1013,Otro campo de actuación importante han sido los hospitales dónde se trabaja con los médicos codo con codo,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal médico codo con codo,False
1025,"¿Cómo podemos esperar que la situación empeore si los encargados , las encargadas de maximizar los beneficios apenas tiene en cuenta este aspecto?",¿Cómo podemos esperar que la situación empeore si el personal encargado de maximizar los beneficios apenas tiene en cuenta este aspecto?,False
1028,"Previamente , los aspirantes deberán comunicar inmediatamente a la Comisión cualquier modificación determinante de la ciudad.","Previamente , quienes aspiren deberán comunicar inmediatamente a la Comisión cualquier modificación determinante de la ciudad.",False
1041,las alumnas han presentado una queja por las profesoras por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja por el profesorado por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,False
1045,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el control,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
1051,todos los que hablamos nos hemos disculpado,quienes hablamos nos hemos disculpado,False
1060,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con los enfermeros codo con codo,Otro campo de actuación importante fueron los hospitales públicos dónde se trabaja con el personal sanitario codo con codo,False
1061,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especializados de nuestro centro,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto de nuestro centro,False
1065,Cada una,Cada quien,False
1075,Disfruto seáis vosotros quienes a veces me lea algo,Disfruto alguien a veces me lea algo,False
1097,los asistentes a la función deberá llegar temprano,quien asista a la función deberá llegar temprano,False
1099,Otro campo de actuación importante han sido los hospitales dónde se trabaja con los enfermeros,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal sanitario,False
1107,Cuando la alumna inclusión en el plan de estudios se tomarán medidas,Cuando se inclusión en el plan de estudios se tomarán medidas,False
1108,Todos los ponentes al curso recibirá un dossier explicativo,Cada ponente al curso recibirá un dossier explicativo,False
1119,Todos los asistentes al curso recibirá un dossier explicativo,Cada asistente al curso recibirá un dossier explicativo,False
1129,Todos los ponentes al curso obtendrá un diploma,Cada ponente al curso obtendrá un diploma,False
1131,el autor de este escrito es Virginia Wolf,la autoría de este escrito es Virginia Wolf,False
1132,"Si quieres ir a un museo con la clase , vas a tener que avisar a las familiares","Si quieres ir a un museo con la clase , vas a tener que avisar a la familia",False
1154,El tribunal estará compuesto por profesionales autorizadas,El tribunal estará compuesto por profesionales con autorización,False
1178,Todos los ponentes al viaje obtendrá un diploma,Cada ponente al viaje obtendrá un diploma,False
1181,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especializados en este caso,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
1188,Alguna ha terminado el trabajo,Alguien ha terminado el trabajo,False
1199,Otro campo de actuación importante fueron los hospitales dónde se trabaja con las enfermeras,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal sanitario,False
1206,"En muchos casos , los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerse con él","En muchos casos , los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él",False
1209,Un perfil de múltiples artistas que todas las que hablamos la lengua de Cervantes seguimos reconociendo como propio e inalienable,Un perfil de múltiples artistas que aquellos que hablamos la lengua de Cervantes seguimos reconociendo como propio e inalienable,False
1215,El consejo estará compuesto por miembros acreditadas,El consejo estará compuesto por miembros con acreditación,False
1218,"Cuando Los beneficiarios de una asignación por minusvalía no reúna las condiciones , se procederá a su expulsión","Cuando Las personas beneficiarias de una asignación por minusvalía no reúna las condiciones , se procederá a su expulsión",False
1222,"Cuando El beneficiario de una asignación por invalidez no reúna las condiciones , se procederá a su expulsión","Cuando La persona beneficiaria de una asignación por invalidez no reúna las condiciones , se procederá a su expulsión",False
1234,Habla con tu médico de cabecera para averiguar si necesitas que se cambie tu dosis de metadona o del resto medicamentos que tienes prescritos,Habla con tu médico de cabecera para averiguar si necesitas que se cambie tu dosis de metadona o del resto medicamentos que tienes prescritos,False
1236,Todos los asistentes al congreso recibirá una carpeta con materiales,Cada asistente al congreso recibirá una carpeta con materiales,False
1244,Estos ordenadores permitirán que los administrativos trabaje con más rapidez y realice sus actividades de manera más óptima,Estos ordenadores permitirán que el personal administrativo trabaje con más rapidez y realice sus actividades de manera más óptima,False
1263,La normativa se dirige a los voluntarios y les explicaba el nuevo procedimiento de admisión de miembros,La normativa se dirige al voluntariado y les explicaba el nuevo procedimiento de admisión de miembros,False
1322,Todos los ponentes al curso obtendrá un regalo,Cada ponente al curso obtendrá un regalo,False
1346,Disfruto seáis vosotros quienes a veces me recite algo,Disfruto alguna persona a veces me recite algo,False
1352,También necesita que las políticas se formulen con el colaborador de los líderes indígenas para obtener resultados duraderos en el tiempo,También necesita que las políticas se formulen en colaboración con los líderes indígenas para obtener resultados duraderos en el tiempo,False
1353,El número de parados argentinos,El indice de paro en argentina,False
1360,Disfruto seáis vosotros quienes me recite algo,Disfruto alguna persona me recite algo,False
1373,el autor de esta novela es Miguel de Cervantes,la autoría de esta novela es Miguel de Cervantes,False
1377,No lo dudes hazte socio y forma parte de nuestra asociación,No lo dudes asóciate y forma parte de nuestra asociación,False
1378,Tenemos que cubrir las carencias que tiene el promotor incorporando personal cualificado con un perfil diferente para compensar los errores pasados,Tenemos que cubrir las carencias que tiene el equipo promotor incorporando personal cualificado con un perfil diferente para compensar los errores pasados,False
1379,Es importante solventar los problemas que presenta el promotor contratando personal con un perfil diferente para compensar los errores pasados,Es importante solventar los problemas que presenta el personal promotor contratando personal con un perfil diferente para compensar los errores pasados,False
1381,"A nivel corporativo , realizamos entrevistas con las encargadas de la preparación y control de los procedimientos","A nivel corporativo , realizamos entrevistas con el personal responsable de la preparación y control de los procedimientos",False
1383,Mientras esté ingresado no debe tomar agua que no le sea suministrada por los especializados en su cirugía,Mientras esté ingresado no debe tomar agua que no le sea suministrada por el personal experto en su cirugía,False
1386,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por los expertos,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por el personal especializado,False
1397,Los docentes Martín y Lucas impartirán la asignatura de Tecnología.,Los docentes Martín y Lucas impartirán la asignatura de Tecnología.,False
1403,"Cuando planees una actividad en clase , siempre debes tener en cuenta a las discapacitadas","Cuando planees una actividad en clase , siempre debes tener en cuenta a las personas discapacitadas",False
1412,Disfruto seáis vosotros quienes me recite algo,Disfruto alguien me recite algo,False
1420,Los docentes Hugo y Mateo impartirán la asignatura de Literatura.,Los docentes Hugo y Mateo impartirán la asignatura de Literatura.,False
1428,Las profesoras Isabel y Dolores impartirán la asignatura de Conocimiento del Medio.,Las profesoras Isabel y Dolores impartirán la asignatura de Conocimiento del Medio.,False
1430,Todos los asistentes al curso recibirá una acreditación,Cada asistente al curso recibirá una acreditación,False
1435,Tenemos que solventar los problemas que tiene el promotor añadiendo personal cualificado con un perfil diferente para compensar los fallos,Tenemos que solventar los problemas que tiene el equipo promotor añadiendo personal cualificado con un perfil diferente para compensar los fallos,False
1446,Disfruto seáis vosotros quienes a veces me recite algo,Disfruto alguien a veces me recite algo,False
1454,Cuando El beneficiario de una asignación por invalidez fallezca sin que se reúnan las condiciones se aplicará el protocolo,Cuando La persona beneficiaria de una asignación por invalidez fallezca sin que se reúnan las condiciones se aplicará el protocolo,False
1465,Todos los asistentes al viaje obtendrá una acreditación,Cada asistente al viaje obtendrá una acreditación,False
1492,Todos los asistentes al curso obtendrá una acreditación,Cada asistente al curso obtendrá una acreditación,False
1509,Aún no se ha recopilado información suficiente del motivo por el cual algunas tienen reacciones,Aún no se ha recopilado información suficiente del motivo por el cual ciertas personas tienen reacciones,False
1555,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el control,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
1588,Todos los ponentes al curso contará con una acreditación,Cada ponente al curso contará con una acreditación,False
1595,Las formadoras Isabel y Dolores impartirán la asignatura de Educación Física.,Las formadoras Isabel y Dolores impartirán la asignatura de Educación Física.,False
1599,los equipos de trabajo funcionan únicamente como vehículo para que alguno pueda hacerse con el control,los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,False
1610,"los organizadores de los programas tenían en cuenta que , para ser efectivos , era necesario acompañar la participación","la organización de los programas tenía en cuenta que , para ser efectivos , era necesario acompañar la participación",False
1637,la autoría de este escrito es Virginia Wolf,la autoría de este escrito es Virginia Wolf,False
1647,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguno pueda hacerse con el poder,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
1649,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con los médicos codo con codo,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal médico codo con codo,False
1652,Para obtener una cátedra se requiere ser constante,Para obtener una cátedra se requiere ser constante,False
1653,los clientes deberá acudir a recepción en primer lugar.,la clientela deberá acudir a recepción en primer lugar.,False
1669,"Es mandatario que el mentor esté disponible para capacitar , ayudar y dar apoyo a su . alumno","Es mandatario que el mentor esté disponible para capacitar , ayudar y dar apoyo a su . alumnado",False
1671,Hay que respetar los discursos de las otras,Hay que respetar los discursos del resto,False
1672,Todos los asistentes al curso contará con un regalo,Cada asistente al curso contará con un regalo,False
1676,Todos los asistentes al curso recibirá un regalo,Cada asistente al curso recibirá un regalo,False
1678,"Buenas tardes a todas , rogamos estén presentes","Buenas tardes , rogamos estén presentes",False
1699,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con los médicos codo con codo,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal médico codo con codo,False
1700,Para que desempeñen una función activa en la política de su país deben de estar informados,Para que desempeñe una función activa en la política de su país debe de estar informado,False
1719,Estas herramientas permitirán que los administrativos trabaje con más celeridad y realice sus actividades de manera más óptima,Estas herramientas permitirán que el personal administrativo trabaje con más celeridad y realice sus actividades de manera más óptima,False
1728,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal sanitario codo con codo,Otro campo de actuación importante han sido los hospitales dónde se trabaja con el personal sanitario codo con codo,False
1729,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los expertos en su cirugía,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal especializado en su cirugía,False
1734,Todos los ponentes al congreso obtendrá un dossier explicativo,Cada ponente al congreso obtendrá un dossier explicativo,False
1738,Las profesoras Mariana y Jimena impartirán la asignatura de Física.,Las profesoras Mariana y Jimena impartirán la asignatura de Física.,False
1741,Los formadores Hugo y Mateo impartirán la asignatura de Educación Física.,Los formadores Hugo y Mateo impartirán la asignatura de Educación Física.,False
1748,Otro campo de actuación importante fueron los hospitales dónde se trabaja con los médicos,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal médico,False
1749,Las formadoras Mariana y Jimena impartirán la asignatura de Matemáticas.,Las formadoras Mariana y Jimena impartirán la asignatura de Matemáticas.,False
