gender_exclusive,gender_inclusive,difficulty,origin
El camarero atenderá a los clientes con amabilidad.,Cada camarera o camarero atenderá a los clientes con amabilidad.,persona_generica,GPT-3.5_fewshot
El doctor recetará medicamentos según el diagnóstico.,Cada doctora o doctor recetará medicamentos según el diagnóstico.,persona_generica,GPT-3.5_fewshot
El arquitecto diseñará edificios modernos y funcionales.,Cada arquitecta o arquitecto diseñará edificios modernos y funcionales.,persona_generica,GPT-3.5_fewshot
El juez impartirá justicia de manera imparcial.,Cada jueza o juez impartirá justicia de manera imparcial.,persona_generica,GPT-3.5_fewshot
El programador desarrollará software innovador.,Cada programadora o programador desarrollará software innovador.,persona_generica,GPT-3.5_fewshot
El policía velará por la seguridad de la comunidad.,Cada policía velará por la seguridad de la comunidad.,persona_generica,GPT-3.5_fewshot
El ingeniero construirá puentes resistentes.,Cada ingeniera o ingeniero construirá puentes resistentes.,persona_generica,GPT-3.5_fewshot
El artista creará obras que inspiren a la gente.,Cada artista creará obras que inspiren a la gente.,persona_generica,GPT-3.5_fewshot
Dichos estudiantes serán premiados por su excelencia académica.,Tales estudiantes serán premiados por su excelencia académica.,persona_generica,GPT-3.5_fewshot
Dichos clientes disfrutarán de descuentos exclusivos.,Tales clientes disfrutarán de descuentos exclusivos.,persona_generica,GPT-3.5_fewshot
Dichos voluntarios participarán en labores de limpieza.,Tales voluntarios participarán en labores de limpieza.,persona_generica,GPT-3.5_fewshot
Dichos miembros del equipo serán promovidos por su desempeño.,Tales miembros del equipo serán promovidos por su desempeño.,persona_generica,GPT-3.5_fewshot
Dichos artistas expondrán sus obras en la galería.,Tales artistas expondrán sus obras en la galería.,persona_generica,GPT-3.5_fewshot
Dichos empleados serán reconocidos en la ceremonia de premiación.,Tales empleados serán reconocidos en la ceremonia de premiación.,persona_generica,GPT-3.5_fewshot
Dichos invitados serán recibidos con una recepción especial.,Tales invitados serán recibidos con una recepción especial.,persona_generica,GPT-3.5_fewshot
Dichos participantes serán evaluados según su desempeño.,Tales participantes serán evaluados según su desempeño.,persona_generica,GPT-3.5_fewshot
Dichos candidatos serán entrevistados para el puesto.,Tales candidatos serán entrevistados para el puesto.,persona_generica,GPT-3.5_fewshot
Dichos alumnos serán guiados por el tutor.,Tales alumnos serán guiados por el tutor.,persona_generica,GPT-3.5_fewshot
Dichos pacientes serán atendidos por el médico de guardia.,Tales pacientes serán atendidos por el médico de guardia.,persona_generica,GPT-3.5_fewshot
Dichos atletas competirán en los Juegos Olímpicos.,Tales atletas competirán en los Juegos Olímpicos.,persona_generica,GPT-3.5_fewshot
Se busca un empleado de limpieza para mantener la oficina en orden.,Se busca un empleado o empleada de limpieza para mantener la oficina en orden.,plural_complejo,GPT-3.5_fewshot
Necesitamos un programador para desarrollar una nueva aplicación móvil.,Necesitamos un programador o programadora para desarrollar una nueva aplicación móvil.,plural_complejo,GPT-3.5_fewshot
El restaurante está buscando un chef para liderar la cocina.,El restaurante está buscando chef para liderar la cocina.,plural_complejo,GPT-3.5_fewshot
Estamos buscando un médico para unirse a nuestro equipo de atención médica.,Estamos buscando un médico o médica para unirse a nuestro equipo de atención médica.,plural_complejo,GPT-3.5_fewshot
La empresa necesita un contable para manejar las finanzas.,La empresa necesita contable para manejar las finanzas.,plural_complejo,GPT-3.5_fewshot
Se requiere un consultor de marketing para mejorar la estrategia de la empresa.,Se requiere una consultora o un consultor de marketing para mejorar la estrategia de la empresa.,plural_complejo,GPT-3.5_fewshot
Estamos buscando un diseñador gráfico para crear contenido visual.,Estamos buscando un diseñador o una diseñadora gráfica para crear contenido visual.,plural_complejo,GPT-3.5_fewshot
Se necesita un traductor para trabajar en la traducción de documentos importantes.,Se necesita una traductora o un traductor para trabajar en la traducción de documentos importantes.,plural_complejo,GPT-3.5_fewshot
La compañía está buscando un/a ingeniero/a eléctrico/a para diseñar sistemas de energía.,La compañía está buscando un ingeniero o una ingeniera eléctrica para diseñar sistemas de energía.,plural_complejo,GPT-3.5_fewshot
Estamos buscando un arquitecto para diseñar nuestra próxima construcción.,Estamos buscando una arquitecta o un arquitecto para diseñar nuestra próxima construcción.,plural_complejo,GPT-3.5_fewshot
Los artistas mexicanos son reconocidos por su talento y creatividad.,La comunidad artística mexicana es reconocida por su talento y creatividad.,plural_complejo,GPT-3.5_fewshot
Los ingenieros japoneses son líderes en innovación tecnológica.,La comunidad ingeniera japonesa es líder en innovación tecnológica.,plural_complejo,GPT-3.5_fewshot
Los italianos son famosos por su amor por la buena comida y el buen vino.,La población italiana es famosa por su amor por la buena comida y el buen vino.,plural_complejo,GPT-3.5_fewshot
Los científicos indios están contribuyendo significativamente al avance de la medicina.,La comunidad científica india está contribuyendo significativamente al avance de la medicina.,plural_complejo,GPT-3.5_fewshot
Los estudiantes franceses disfrutan de una rica vida cultural en sus universidades.,El estudiantado francés disfruta de una rica vida cultural en sus universidades.,plural_complejo,GPT-3.5_fewshot
Los músicos brasileños son reconocidos internacionalmente por su talento.,La comunidad musical brasileña es reconocida internacionalmente por su talento.,plural_complejo,GPT-3.5_fewshot
Los chefs tailandeses son maestros en la cocina asiática.,La comunidad culinaria tailandesa es maestra en la cocina asiática.,plural_complejo,GPT-3.5_fewshot
Los bailarines españoles son apasionados y expresivos en sus movimientos.,La comunidad de bailarines y bailarinas españoles es apasionada y expresiva en sus movimientos.,plural_complejo,GPT-3.5_fewshot
Los escritores rusos han dejado un legado literario invaluable.,La comunidad de escritores y escritoras rusas ha dejado un legado literario invaluable.,plural_complejo,GPT-3.5_fewshot
Los atletas kenianos son reconocidos por su dominio en carreras de larga distancia.,La comunidad atlética de Kenia es reconocida por su dominio en carreras de larga distancia.,plural_complejo,GPT-3.5_fewshot
Los empresarios chinos están liderando la economía global.,La comunidad empresarial china está liderando la economía global.,plural_complejo,GPT-3.5_fewshot
Los diseñadores de moda parisinos marcan tendencias en el mundo entero.,La comunidad de diseñadores y diseñadoras de moda parisina marca tendencias en el mundo entero.,plural_complejo,GPT-3.5_fewshot
Los activistas sudafricanos luchan por la justicia y la igualdad.,La comunidad activista sudafricana lucha por la justicia y la igualdad.,plural_complejo,GPT-3.5_fewshot
Los actores británicos son reconocidos por su versatilidad en el escenario y la pantalla.,La comunidad de actores y actrices británicas es reconocida por su versatilidad en el escenario y la pantalla.,plural_complejo,GPT-3.5_fewshot
Los cineastas argentinos están ganando reconocimiento internacional por sus películas.,La comunidad cinematográfica argentina está ganando reconocimiento internacional por sus películas.,plural_complejo,GPT-3.5_fewshot
Los surfistas hawaianos son maestros en domar las olas del océano.,La comunidad de surfistas hawaiana es maestra en domar las olas del océano.,plural_complejo,GPT-3.5_fewshot
Los programadores suecos son pioneros en el desarrollo de tecnologías sostenibles.,La comunidad de programadores y programadoras sueca es pionera en el desarrollo de tecnologías sostenibles.,plural_complejo,GPT-3.5_fewshot
Los bailarines de ballet rusos son conocidos por su gracia y habilidad técnica.,La comunidad de bailarines y bailarinas de ballet rusas es conocida por su gracia y habilidad técnica.,plural_complejo,GPT-3.5_fewshot
Los astronautas estadounidenses son héroes modernos que exploran el espacio exterior.,La comunidad de astronautas estadounidenses son héroes y heroínas modernas que exploran el espacio exterior.,plural_complejo,GPT-3.5_fewshot
Los niños juegan en el parque,Las criaturas juegan en el parque,plural_neutro,GPT-3.5_fewshot
Los niños estudian en la escuela,Las niñas y los niños estudian en la escuela,plural_neutro,GPT-3.5_fewshot
Los habitantes disfrutan del clima tropical,La población disfruta del clima tropical,plural_neutro,GPT-3.5_fewshot
Los costarricenses celebran el día de la independencia,La población costarricense celebra el día de la independencia,plural_neutro,GPT-3.5_fewshot
Los ciudadanos tienen derecho a votar,La ciudadanía tiene derecho a votar,plural_neutro,GPT-3.5_fewshot
Los descendientes honran a sus ancestros,La descendencia honra a sus ancestros,plural_neutro,GPT-3.5_fewshot
Los trabajadores están en huelga,El personal está en huelga,plural_neutro,GPT-3.5_fewshot
Los profesores enseñan matemáticas,El profesorado enseña matemáticas,plural_neutro,GPT-3.5_fewshot
Los profesores trabajan en equipo,El profesorado trabaja en equipo,plural_neutro,GPT-3.5_fewshot
Los alumnos estudian para los exámenes,El alumnado estudia para los exámenes,plural_neutro,GPT-3.5_fewshot
Las señoras de la limpieza mantienen la higiene en la escuela,El personal de limpieza mantiene la higiene en la escuela,plural_neutro,GPT-3.5_fewshot
Los votantes eligen a sus representantes,El electorado elige a sus representantes,plural_neutro,GPT-3.5_fewshot
Los jóvenes disfrutan de la vida nocturna,La juventud disfruta de la vida nocturna,plural_neutro,GPT-3.5_fewshot
Los amigos comparten momentos felices,Las amistades comparten momentos felices,plural_neutro,GPT-3.5_fewshot
Es importante que los trabajadores colaboren en la elaboración del informe.,Es importante que se colabore en la elaboración del informe.,dificultades_variadas,GPT-3.5_fewshot
Se espera que los ciudadanos respeten las normas de convivencia en la comunidad.,Se espera que la ciudadanía respete las normas de convivencia en la comunidad.,dificultades_variadas,GPT-3.5_fewshot
Los voluntarios ayudarán en la organización del evento benéfico.,El grupo de voluntariado ayudará en la organización del evento benéfico.,dificultades_variadas,GPT-3.5_fewshot
Los artistas locales participarán en la exposición de arte del próximo mes.,Artistas locales participarán en la exposición de arte del próximo mes.,dificultades_variadas,GPT-3.5_fewshot
Los profesionales de la salud aconsejan mantener una dieta equilibrada y hacer ejercicio regularmente.,Profesionales de la salud aconsejan mantener una dieta equilibrada y hacer ejercicio regularmente.,dificultades_variadas,GPT-3.5_fewshot
Los vecinos están invitados a colaborar en la limpieza del parque el sábado por la mañana.,El vecindario está invitado a colaborar en la limpieza del parque el sábado por la mañana.,dificultades_variadas,GPT-3.5_fewshot
Los miembros del club deportivo deben seguir las normas establecidas por la organización.,Se deben seguir las normas establecidas por la organización.,dificultades_variadas,GPT-3.5_fewshot
Los estudiantes son alentados a participar en actividades extracurriculares para enriquecer su experiencia educativa.,Se alienta a participar en actividades extracurriculares para enriquecer la experiencia educativa.,dificultades_variadas,GPT-3.5_fewshot
Los empleados de la empresa están invitados a contribuir con ideas para mejorar el ambiente laboral.,Se invita a contribuir con ideas para mejorar el ambiente laboral.,dificultades_variadas,GPT-3.5_fewshot
Los residentes del barrio pueden colaborar en la decoración de las calles para las fiestas navideñas.,Quienes residan en el barrio pueden colaborar en la decoración de las calles para las fiestas navideñas.,dificultades_variadas,GPT-3.5_fewshot
Los integrantes del equipo de investigación deben trabajar juntos para alcanzar los objetivos propuestos.,Quienes integren el equipo de investigación deben trabajar juntos para alcanzar los objetivos propuestos.,dificultades_variadas,GPT-3.5_fewshot
Los conductores deben respetar las normas de tránsito para garantizar la seguridad vial.,Se debe respetar las normas de tránsito para garantizar la seguridad vial.,dificultades_variadas,GPT-3.5_fewshot
Los participantes del evento tendrán la oportunidad de interactuar con expertos en el tema.,Se tendrá la oportunidad de interactuar con expertos en el tema.,dificultades_variadas,GPT-3.5_fewshot
Los pacientes deben seguir las indicaciones del médico para asegurar una pronta recuperación.,Se deben seguir las indicaciones médicas para asegurar una pronta recuperación.,dificultades_variadas,GPT-3.5_fewshot
Los escritores están invitados a enviar sus obras para ser consideradas en el concurso literario.,Se invita a enviar sus obras para ser consideradas en el concurso literario.,dificultades_variadas,GPT-3.5_fewshot
Los asistentes al seminario recibirán un certificado de participación al finalizar el evento.,Se recibirá un certificado de participación al finalizar el evento.,dificultades_variadas,GPT-3.5_fewshot
Los voluntarios serán capacitados para llevar a cabo labores de asistencia en casos de emergencia.,El voluntariado será capacitado para llevar a cabo labores de asistencia en casos de emergencia.,dificultades_variadas,GPT-3.5_fewshot
Los candidatos deben presentar su currículum vitae y carta de motivación para solicitar el puesto.,Quienes presenten al puesto deben presentar su currículum vitae y carta de motivación para solicitarlo.,dificultades_variadas,GPT-3.5_fewshot
Los músicos tocarán en el concierto benéfico para recaudar fondos para una causa solidaria.,Se realizará un concierto benéfico para recaudar fondos para una causa solidaria.,dificultades_variadas,GPT-3.5_fewshot
Los estudiantes deben entregar sus proyectos finales antes de la fecha límite.,Quienes deseen entregar sus proyectos finales deben hacerlo antes de la fecha límite.,dificultades_variadas,GPT-3.5_fewshot
Los participantes deben registrarse en línea para asistir al evento.,Quienes deseen participar en el evento deben registrarse en línea para asistir al mismo.,dificultades_variadas,GPT-3.5_fewshot
Los clientes deben seleccionar el método de pago al finalizar su compra en línea.,Quienes deseen realizar una compra en línea deben seleccionar el método de pago al finalizar.,dificultades_variadas,GPT-3.5_fewshot
Los solicitantes deben completar el formulario de solicitud de beca antes de la fecha límite.,Quienes deseen solicitar la beca deben completar el formulario de solicitud antes de la fecha límite.,dificultades_variadas,GPT-3.5_fewshot
Los participantes deben seguir las instrucciones del coordinador durante el taller.,Quienes deseen participar deben seguir las instrucciones del coordinador durante el taller.,dificultades_variadas,GPT-3.5_fewshot
Los pacientes deben esperar en la sala de espera hasta ser llamados por el médico.,Quienes deseen ser atendidos deben esperar en la sala de espera hasta ser llamados por el médico.,dificultades_variadas,GPT-3.5_fewshot
Los suscriptores deben actualizar su información de pago antes de la fecha de vencimiento.,Quienes deseen mantener su suscripción deben actualizar su información de pago antes de la fecha de vencimiento.,dificultades_variadas,GPT-3.5_fewshot
Los adolescentes están disfrutando de su tiempo libre en el parque.,La adolescencia disfruta de su tiempo libre en el parque.,plurales,GPT-3.5_fewshot
Los mayores disfrutan de paseos tranquilos por el vecindario.,Las personas mayores disfrutan de paseos tranquilos por el vecindario.,plurales,GPT-3.5_fewshot
Los jóvenes están organizando una protesta pacífica.,La juventud está organizando una protesta pacífica.,plurales,GPT-3.5_fewshot
Los niños juegan felices en el patio de recreo.,Las criaturas juegan felices en el patio de recreo.,plurales,GPT-3.5_fewshot
Los estudiantes están estudiando para sus exámenes finales.,El estudiantado está estudiando para sus exámenes finales.,plurales,GPT-3.5_fewshot
Los alumnos están entusiasmados por el próximo viaje escolar.,El alumnado está entusiasmado por el próximo viaje escolar.,plurales,GPT-3.5_fewshot
Los profesores están impartiendo clases en línea debido a la pandemia.,El profesorado está impartiendo clases en línea debido a la pandemia.,plurales,GPT-3.5_fewshot
Los pilotos y las azafatas están preparando el avión para el despegue.,El personal de aviación está preparando el avión para el despegue.,plurales,GPT-3.5_fewshot
Las mujeres de la limpieza mantienen impecable el edificio de la empresa.,El personal de limpieza mantiene impecable el edificio de la empresa.,plurales,GPT-3.5_fewshot
Los médicos están trabajando horas extra para atender a los pacientes.,El personal médico está trabajando horas extra para atender a los pacientes.,plurales,GPT-3.5_fewshot
Las enfermeras cuidan con dedicación a los enfermos en el hospital.,El personal de enfermería cuida con dedicación a los enfermos en el hospital.,plurales,GPT-3.5_fewshot
Los médicos y las enfermeras forman un equipo excepcional en el hospital.,El personal de la salud forma un equipo excepcional en el hospital.,plurales,GPT-3.5_fewshot
Los candidatos están debatiendo sus propuestas ante el público.,Las personas candidatas están debatiendo sus propuestas ante el público.,plurales,GPT-3.5_fewshot
El encargado está supervisando el trabajo en la fábrica.,La persona encargada está supervisando el trabajo en la fábrica.,plurales,GPT-3.5_fewshot
El hombre camina erguido gracias a la evolución del hombre.,El ser humano camina erguido gracias a la evolución humana.,plurales,GPT-3.5_fewshot
Los derechos del hombre deben ser respetados en todo momento.,Los derechos humanos deben ser respetados en todo momento.,plurales,GPT-3.5_fewshot
El cuerpo del hombre es un tema de estudio en anatomía.,El cuerpo humano es un tema de estudio en anatomía.,plurales,GPT-3.5_fewshot
Los andaluces disfrutan de su rica cultura y gastronomía.,El pueblo andaluz disfruta de su rica cultura y gastronomía.,plurales,GPT-3.5_fewshot
Los irlandeses son conocidos por su hospitalidad y alegría.,La población de Irlanda es conocida por su hospitalidad y alegría.,plurales,GPT-3.5_fewshot
El hombre urbano está acostumbrado al bullicio de la ciudad.,La población urbana está acostumbrada al bullicio de la ciudad.,plurales,GPT-3.5_fewshot
Los inmigrantes y sus familias buscan una vida mejor en un país nuevo.,La población inmigrante busca una vida mejor en un país nuevo.,plurales,GPT-3.5_fewshot
Los funcionarios trabajan para garantizar el funcionamiento del gobierno.,El funcionariado trabaja para garantizar el funcionamiento del gobierno.,plurales,GPT-3.5_fewshot
Los vecinos se reúnen para celebrar el cumpleaños del barrio.,El vecindario se reúne para celebrar el cumpleaños del barrio.,plurales,GPT-3.5_fewshot
"Los electores, los votantes, tienen la responsabilidad de elegir a sus representantes políticos.",El electorado tiene la responsabilidad de elegir a sus representantes políticos.,plurales,GPT-3.5_fewshot
El director de estudios anunció nuevas políticas educativas.,La dirección de estudios anunció nuevas políticas educativas.,plural_neutro,GPT-3.5_fewshot
La directora de estudios supervisó la implementación del nuevo plan de estudios.,La dirección de estudios supervisó la implementación del nuevo plan de estudios.,plural_neutro,GPT-3.5_fewshot
Los directores de estudios están debatiendo sobre el currículo escolar.,La dirección de estudios está debatiendo sobre el currículo escolar.,plural_neutro,GPT-3.5_fewshot
Las directoras de estudios organizaron un seminario para padres y maestros.,La dirección de estudios organizó un seminario para padres y maestros.,plural_neutro,GPT-3.5_fewshot
El tutor ayudó al estudiante a prepararse para el examen.,La tutoría ayudó al estudiante a prepararse para el examen.,plural_neutro,GPT-3.5_fewshot
La tutora ofreció apoyo académico individualizado a los alumnos.,La tutoría ofreció apoyo académico individualizado a los alumnos.,plural_neutro,GPT-3.5_fewshot
Los tutores trabajaron en equipo para brindar orientación a los estudiantes.,La tutoría trabajó en equipo para brindar orientación a los estudiantes.,plural_neutro,GPT-3.5_fewshot
Las tutoras organizaron sesiones de tutoría para mejorar el rendimiento académico.,La tutoría organizó sesiones para mejorar el rendimiento académico.,plural_neutro,GPT-3.5_fewshot
El consultor brindó asesoramiento sobre estrategias de marketing.,La consultoría brindó asesoramiento sobre estrategias de marketing.,plural_neutro,GPT-3.5_fewshot
La consultora realizó un análisis exhaustivo de la situación financiera.,La consultoría realizó un análisis exhaustivo de la situación financiera.,plural_neutro,GPT-3.5_fewshot
Los consultores están desarrollando un plan de acción para la empresa.,La consultoría está desarrollando un plan de acción para la empresa.,plural_neutro,GPT-3.5_fewshot
Las consultoras presentaron recomendaciones para mejorar la eficiencia operativa.,La consultoría presentó recomendaciones para mejorar la eficiencia operativa.,plural_neutro,GPT-3.5_fewshot
El secretario organizó la agenda de la reunión.,La secretaría organizó la agenda de la reunión.,plural_neutro,GPT-3.5_fewshot
La secretaria gestionó la correspondencia y los documentos importantes.,La secretaría gestionó la correspondencia y los documentos importantes.,plural_neutro,GPT-3.5_fewshot
Los secretarios atendieron las llamadas telefónicas y programaron citas.,La secretaría atendió las llamadas telefónicas y programó citas.,plural_neutro,GPT-3.5_fewshot
