gender_exclusive,gender_inclusive,sacrebleu,difficulty,origin
Los antropólogos estudian las culturas humanas.,Antropólogas y antropólogos estudian las culturas humanas.,68.037493331712,plural,GPT-3.5_CaDi
Los aparejadores supervisan la construcción de edificaciones.,Aparejadoras y aparejadores supervisan la construcción de edificaciones.,72.59795291154772,plural,GPT-3.5_CaDi
Los apneístas practican la apnea bajo el agua.,Las y los apneístas practican la apnea bajo el agua.,67.86502681586727,plural,GPT-3.5_CaDi
Los apoderados representan legalmente a otras personas.,Apoderadas y apoderados representan legalmente a otras personas.,72.59795291154772,plural,GPT-3.5_CaDi
Los aprendices adquieren habilidades durante su formación.,El conjunto de aprendices adquiere habilidades durante su formación.,41.11336169005198,plural,GPT-3.5_CaDi
Los árbitros garantizan el fair play en los partidos.,Quienes arbitran garantizan el fair play en los partidos.,75.98356856515926,plural,GPT-3.5_CaDi
Los archiveros organizan y gestionan documentos importantes.,El personal del archivo organiza y gestiona documentos importantes.,16.784459625186194,plural,GPT-3.5_CaDi
Los arquitectos diseñan edificaciones impresionantes.,Arquitectas y arquitectos diseñan edificaciones impresionantes.,61.47881529512643,plural,GPT-3.5_CaDi
Los artesanos elaboran productos con habilidad manual.,Las personas artesanas elaboran productos con habilidad manual.,58.73949094699213,plural,GPT-3.5_CaDi
Los artífices crean obras de arte con destreza.,Las y los artífices crean obras de arte con destreza.,67.86502681586727,plural,GPT-3.5_CaDi
Los artistas expresan sus emociones a través de la creación.,Las personas artistas expresan sus emociones a través de la creación.,80.70557274927978,plural,GPT-3.5_CaDi
Los asalariados reciben un salario por su trabajo.,Las personas asalariadas reciben un salario por su trabajo.,63.894310424627285,plural,GPT-3.5_CaDi
Los asesores brindan consejos y orientación especializada.,La asesoría brinda consejos y orientación especializada.,51.69731539571708,plural,GPT-3.5_CaDi
Los asistentes ayudan en tareas administrativas.,Las personas asistentes ayudan en tareas administrativas.,68.037493331712,plural,GPT-3.5_CaDi
Los astrólogos interpretan el horóscopo y las estrellas.,Astrólogas y astrólogos interpretan el horóscopo y las estrellas.,75.98356856515926,plural,GPT-3.5_CaDi
Los astronautas viajan al espacio para realizar investigaciones.,Las y los astronautas viajan al espacio para realizar investigaciones.,67.86502681586727,plural,GPT-3.5_CaDi
Los astrónomos estudian los astros y el universo.,Astrónomas y astrónomos estudian los astros y el universo.,75.98356856515926,plural,GPT-3.5_CaDi
Los atletas entrenan duro para competir en eventos deportivos.,El conjunto de atletas entrena duro para competir en eventos deportivos.,53.3167536340577,plural,GPT-3.5_CaDi
Los auditores revisan y verifican los registros financieros.,Auditoras y auditores revisan y verifican los registros financieros.,75.98356856515926,plural,GPT-3.5_CaDi
Los auditores garantizan la precisión y legalidad de los registros.,La auditoría garantiza la precisión y legalidad de los registros.,67.86502681586727,plural,GPT-3.5_CaDi
"Los autores escriben libros, cuentos o poesías.","Autoras y autores escriben libros, cuentos o poesías.",75.98356856515926,plural,GPT-3.5_CaDi
Los auxiliares asisten en diversas actividades.,El personal auxiliar asiste en diversas actividades.,34.57207846419409,plural,GPT-3.5_CaDi
Los arredadores alquilan propiedades a los arrendatarios.,Las personas arrendadoras alquilan propiedades a las personas arrendatarias.,16.784459625186194,plural,GPT-3.5_CaDi
Los bailarines interpretan coreografías con gracia y habilidad.,El cuerpo de baile interpreta coreografías con gracia y habilidad.,46.17366309441026,plural,GPT-3.5_CaDi
Los bajistas son fundamentales en una banda de música.,El bajo es fundamental en una banda de música.,51.697315395717055,plural,GPT-3.5_CaDi
Los banqueros gestionan transacciones financieras.,La banca gestiona transacciones financieras.,30.213753973567677,plural,GPT-3.5_CaDi
Los barman preparan deliciosos cócteles en el bar.,El personal de la barra prepara deliciosos cócteles en el bar.,41.72261448611506,plural,GPT-3.5_CaDi
Los basquetbolistas entrenan duro para ganar partidos.,Quienes juegan a basquetbol entrenan duro para ganar partidos.,51.697315395717055,plural,GPT-3.5_CaDi
Los becarios adquieren experiencia laboral durante su formación.,Las personas becadas adquieren experiencia laboral durante su formación.,63.894310424627285,plural,GPT-3.5_CaDi
Los bedeles ayudan en la organización de eventos académicos.,El personal auxiliar ayuda en la organización de eventos académicos.,57.067457770559976,plural,GPT-3.5_CaDi
Los beisbolistas practican lanzamientos y bateos en el campo.,Las y los beisbolistas practican lanzamientos y bateos en el campo.,71.02992180127423,plural,GPT-3.5_CaDi
Los belenistas crean hermosos nacimientos durante la Navidad.,Artistas del belenismo crean hermosos nacimientos durante la Navidad.,63.894310424627285,plural,GPT-3.5_CaDi
Los beneficiarios reciben ayuda económica del gobierno.,Las personas beneficiarias reciben ayuda económica del gobierno.,58.73949094699213,plural,GPT-3.5_CaDi
Los bibliotecarios gestionan el préstamo de libros en la biblioteca.,Bibliotecarias y bibliotecarios gestionan el préstamo de libros en la biblioteca.,80.70557274927978,plural,GPT-3.5_CaDi
Los biblistas estudian e interpretan textos religiosos.,Las y los especialistas en estudios bíblicos estudian e interpretan textos religiosos.,38.058030016749456,plural,GPT-3.5_CaDi
Los biógrafos investigan la vida de personas destacadas.,Biógrafas y biógrafos investigan la vida de personas destacadas.,75.98356856515926,plural,GPT-3.5_CaDi
Los biólogos estudian los seres vivos y su entorno.,El cuerpo profesional de biología estudia los seres vivos y su entorno.,47.037095938668976,plural,GPT-3.5_CaDi
Los bodegueros se encargan del almacenamiento de productos.,Bodegueras y bodegueros se encargan del almacenamiento de productos.,75.98356856515926,plural,GPT-3.5_CaDi
Los bomberos combaten incendios y realizan rescates.,El servicio de extinción de incendios combate incendios y realiza rescates.,9.578464408619825,plural,GPT-3.5_CaDi
Los boticarios preparan medicamentos en la farmacia.,Boticarias y boticarios preparan medicamentos en la farmacia.,72.59795291154772,plural,GPT-3.5_CaDi
Los ayudantes colaboran en diversas tareas cotidianas.,Las personas ayudantes colaboran en diversas tareas cotidianas.,72.59795291154772,plural,GPT-3.5_CaDi
Los boxeadores entrenan duro para las peleas.,Las y los boxeadores entrenan duro para las peleas.,63.894310424627285,plural,GPT-3.5_CaDi
Los buceadores exploran el fondo del mar en busca de tesoros.,Buceadoras y buceadores exploran el fondo del mar en busca de tesoros.,82.42367502646057,plural,GPT-3.5_CaDi
Los buzos se sumergen en aguas profundas para realizar trabajos de mantenimiento.,Las y los profesionales del buceo se sumergen en aguas profundas para realizar trabajos de mantenimiento.,61.02169202557915,plural,GPT-3.5_CaDi
Los cajeros atienden a los clientes en el supermercado.,El personal de caja atiende a los clientes en el supermercado.,51.56626918239821,plural,GPT-3.5_CaDi
Los calígrafos tienen una escritura hermosa y precisa.,Calígrafas y calígrafos tienen una escritura hermosa y precisa.,75.98356856515926,plural,GPT-3.5_CaDi
Los campesinos cultivan la tierra para obtener alimentos.,El campesinado cultiva la tierra para obtener alimentos.,58.73949094699213,plural,GPT-3.5_CaDi
Los cancerólogos investigan y tratan el cáncer.,Las y los especialistas de cáncer investigan y tratan la enfermedad.,14.323145079400492,plural,GPT-3.5_CaDi
Los cancilleres representan a su país en las negociaciones internacionales.,Las y los cancilleres representan a su país en las negociaciones internacionales.,73.61703354503868,plural,GPT-3.5_CaDi
Los candidatos compiten por el puesto político.,Las personas candidatas compiten por el puesto político.,58.73949094699213,plural,GPT-3.5_CaDi
Los cantantes emocionan al público con su voz.,La gente cantante emociona al público con su voz.,51.697315395717055,plural,GPT-3.5_CaDi
Los cantautores componen música y letras de sus propias canciones.,Cantautoras y cantautores componen música y letras de sus propias canciones.,80.70557274927978,plural,GPT-3.5_CaDi
Los capacitadores imparten conocimientos y habilidades en cursos de formación.,El equipo de capacitación imparte conocimientos y habilidades en cursos de formación.,55.93684915933074,plural,GPT-3.5_CaDi
Los capataces supervisan el trabajo en el campo.,Las personas al cargo del personal supervisan el trabajo en el campo.,47.037095938668976,plural,GPT-3.5_CaDi
Los capitanes dirigen el barco durante la travesía.,La capitanía dirige el barco durante la travesía.,58.73949094699213,plural,GPT-3.5_CaDi
Los carniceros cortan y preparan la carne en la carnicería.,El personal de la carnicería corta y prepara la carne.,11.731175160263996,plural,GPT-3.5_CaDi
Los carpinteros construyen muebles de madera.,El personal de la carpintería construye muebles de madera.,26.269098944241577,plural,GPT-3.5_CaDi
Los carteros entregan el correo a los hogares.,Quienes reparten el correo entregan el correo a los hogares.,57.067457770559976,plural,GPT-3.5_CaDi
Los cartógrafos elaboran mapas y planos.,Las y los especialistas en cartografía elaboran mapas y planos.,35.08439695638686,plural,GPT-3.5_CaDi
Los catadores prueban y evalúan la calidad de los alimentos y bebidas.,Catadoras y catadores prueban y evalúan la calidad de los alimentos y bebidas.,83.85766789076253,plural,GPT-3.5_CaDi
Los catedráticos imparten clases magistrales en la universidad.,Las cátedras imparten clases magistrales en la universidad.,72.59795291154772,plural,GPT-3.5_CaDi
Los cazadores buscan presas en el bosque durante la temporada de caza.,El sector de la caza busca presas en el bosque durante la temporada de caza.,58.282339541526554,plural,GPT-3.5_CaDi
Los celadores cuidan la seguridad en el hospital durante la noche.,Celadoras y celadores cuidan la seguridad en el hospital durante la noche.,82.42367502646057,plural,GPT-3.5_CaDi
Los centinelas vigilan el perímetro del edificio durante la noche.,Las y los centinelas vigilan el perímetro del edificio durante la noche.,73.61703354503868,plural,GPT-3.5_CaDi
Los centristas promueven posturas políticas moderadas.,Las y los centristas promueven posturas políticas moderadas.,58.73949094699213,plural,GPT-3.5_CaDi
Los ceramistas crean hermosas piezas de arte con barro.,Las y los ceramistas crean hermosas piezas de arte con barro.,71.02992180127423,plural,GPT-3.5_CaDi
Los cerrajeros reparan cerraduras y hacen llaves.,El servicio de cerrajería reparan cerraduras y hacen llaves.,51.697315395717055,plural,GPT-3.5_CaDi
Los chavales juegan en el parque después de la escuela.,La chavalada juega en el parque después de la escuela.,67.86502681586727,plural,GPT-3.5_CaDi
Los chóferes conducen autobuses para transportar pasajeros.,Las y los chóferes conducen autobuses para transportar pasajeros.,63.894310424627285,plural,GPT-3.5_CaDi
Los cibernautas navegan por internet en busca de información.,Las y los cibernautas navegan por internet en busca de información.,71.02992180127423,plural,GPT-3.5_CaDi
Los ciclistas disfrutan de paseos en bicicleta por el campo.,El conjunto de ciclistas disfruta de paseos en bicicleta por el campo.,57.60844201603898,plural,GPT-3.5_CaDi
Los científicos realizan experimentos en el laboratorio.,La comunidad científica realiza experimentos en el laboratorio.,44.63236137853328,plural,GPT-3.5_CaDi
Los cineastas dirigen y producen películas.,El gremio del cine dirige y produce películas.,10.552670315936318,plural,GPT-3.5_CaDi
Los cirqueros realizan acrobacias en el circo.,Las personas propietarias de un circo realizan acrobacias en el espectáculo.,23.462350320527996,plural,GPT-3.5_CaDi
Los cirujanos operan a pacientes en el hospital.,Cirujanas y cirujanos operan a pacientes en el hospital.,75.98356856515926,plural,GPT-3.5_CaDi
Los ciudadanos participan en la vida política de la comunidad.,La ciudadanía participa en la vida política de la comunidad.,67.86502681586727,plural,GPT-3.5_CaDi
Los ciudadanos de a pie caminan por las calles de la ciudad.,La gente de a pie camina por las calles de la ciudad.,57.83569866465144,plural,GPT-3.5_CaDi
Los clientes compran productos en la tienda.,La clientela compra productos en la tienda.,51.69731539571708,plural,GPT-3.5_CaDi
Los coautores colaboran en la escritura de un libro.,La autoría compartida colabora en la escritura de un libro.,57.067457770559976,plural,GPT-3.5_CaDi
Los cocineros preparan deliciosas comidas en el restaurante.,El personal de cocina prepara deliciosas comidas en el restaurante.,46.17366309441026,plural,GPT-3.5_CaDi
Los coeditores trabajan juntos para mejorar la calidad del libro.,La coedición implica trabajar juntos para mejorar la calidad del libro.,61.32297420585353,plural,GPT-3.5_CaDi
Los colaboradores aportan ideas y esfuerzo al proyecto.,Las personas colaboradoras aportan ideas y esfuerzo al proyecto.,63.894310424627285,plural,GPT-3.5_CaDi
Los colegas se apoyan mutuamente en el trabajo.,Las y los colegas se apoyan mutuamente en el trabajo.,67.86502681586727,plural,GPT-3.5_CaDi
Los comediantes hacen reír a la audiencia con sus chistes.,Las y los comediantes hacen reír a la audiencia con sus chistes.,73.61703354503868,plural,GPT-3.5_CaDi
Los comentaristas analizan el partido de fútbol en la televisión.,Quienes comentan analizan el partido de fútbol en la televisión.,78.60753021519788,plural,GPT-3.5_CaDi
Los comerciantes venden productos en el mercado.,El sector del comercio se dedica a vender productos en el mercado.,28.917849332325716,plural,GPT-3.5_CaDi
Los cómicos son expertos en el arte de la comedia.,Artistas de la comedia son expertas en el arte de la comedia.,48.63383168079944,plural,GPT-3.5_CaDi
Los compañeros de trabajo celebran el éxito del proyecto.,Compañeras y compañeros de trabajo celebran el éxito del proyecto.,78.60753021519788,plural,GPT-3.5_CaDi
Los competidores se esfuerzan por ganar la carrera.,Quienes compiten se esfuerzan por ganar la carrera.,72.59795291154772,plural,GPT-3.5_CaDi
Los compiladores recopilan información para el informe.,Quienes han compilado recopilan información para el informe.,58.73949094699213,plural,GPT-3.5_CaDi
Los compositores crean hermosas melodías para la película.,Compositoras y compositores crean hermosas melodías para la película.,75.98356856515926,plural,GPT-3.5_CaDi
Los comunicólogos estudian los medios de comunicación.,El gremio de la comunicación estudia los medios de comunicación.,35.08439695638686,plural,GPT-3.5_CaDi
Los comunistas defienden los derechos de los trabajadores.,El comunismo defiende los derechos de los trabajadores.,58.73949094699213,plural,GPT-3.5_CaDi
Los concejales representan a la comunidad en el ayuntamiento.,Las concejalías representan a la comunidad en el ayuntamiento.,75.98356856515926,plural,GPT-3.5_CaDi
Los condes son parte de la nobleza.,El conde y la condesa son parte de la nobleza.,46.17366309441026,plural,GPT-3.5_CaDi
Los conductores manejan el autobús con cuidado.,El personal de la conducción maneja el autobús con cuidado.,35.08439695638686,plural,GPT-3.5_CaDi
Los conferenciantes comparten su conocimiento en el seminario.,Las y los conferenciantes comparten su conocimiento en el seminario.,67.86502681586727,plural,GPT-3.5_CaDi
Los conferencistas exponen sus ideas en la conferencia.,El conjunto de conferencistas expone sus ideas en la conferencia.,47.987820666906636,plural,GPT-3.5_CaDi
Los congresistas discuten leyes en el parlamento.,El Congreso discute leyes en el parlamento.,51.69731539571708,plural,GPT-3.5_CaDi
Los consejeros ofrecen orientación y apoyo a los estudiantes.,La consejería ofrece orientación y apoyo a los estudiantes.,63.894310424627285,plural,GPT-3.5_CaDi
Los conserjes mantienen la limpieza en el edificio.,La conserjería se encarga de mantener la limpieza en el edificio.,41.72261448611506,plural,GPT-3.5_CaDi
Los constructores están trabajando en la construcción del nuevo puente.,Constructores y constructoras están trabajando en la construcción del nuevo puente.,71.02992180127423,plural,GPT-3.5_CaDi
Los cónsules representan a su país en el extranjero.,El consulado representa a su país en el extranjero.,63.894310424627285,plural,GPT-3.5_CaDi
Los consultores ofrecen asesoramiento experto a las empresas.,La consultoría ofrece asesoramiento experto a las empresas.,58.73949094699213,plural,GPT-3.5_CaDi
Los contables llevan la contabilidad de la empresa.,La contabilidad es fundamental para llevar el control financiero de la empresa.,20.44800736021839,plural,GPT-3.5_CaDi
Los contadores revisan los estados financieros para detectar errores.,La contaduría revisa los estados financieros para detectar errores.,63.894310424627285,plural,GPT-3.5_CaDi
Los contratados tienen un contrato temporal en la empresa.,El personal contratado tiene un contrato temporal en la empresa.,57.067457770559976,plural,GPT-3.5_CaDi
Los contribuyentes pagan impuestos para financiar servicios públicos.,Las personas contribuyentes pagan impuestos para financiar servicios públicos.,75.98356856515926,plural,GPT-3.5_CaDi
Los contrincantes se enfrentan en una competencia deportiva.,Quienes contienden se enfrentan en una competencia deportiva.,72.59795291154772,plural,GPT-3.5_CaDi
Los cooperantes trabajan en proyectos de ayuda humanitaria.,El mundo de la cooperación involucra a personas que trabajan en proyectos de ayuda humanitaria.,37.23909894939824,plural,GPT-3.5_CaDi
Los coordinadores organizan el evento para asegurarse de que todo salga bien.,La coordinación del evento está a cargo de garantizar que todo salga bien.,28.917849332325716,plural,GPT-3.5_CaDi
Los coreógrafos diseñan las secuencias de baile para la obra de teatro.,El mundo de la coreografía implica diseñar secuencias de baile para la obra de teatro.,51.29497107827518,plural,GPT-3.5_CaDi
Los corresponsales informan sobre los eventos desde el lugar de los hechos.,La corresponsalía informa sobre los eventos desde el lugar de los hechos.,73.61703354503868,plural,GPT-3.5_CaDi
Los cosmetólogos ofrecen tratamientos de belleza en el spa.,El cuerpo profesional de cosmetología ofrece tratamientos de belleza en el spa.,47.037095938668976,plural,GPT-3.5_CaDi
Los creadores imaginan nuevas ideas y las convierten en realidad.,Las personas creadoras imaginan nuevas ideas y las convierten en realidad.,71.02992180127423,plural,GPT-3.5_CaDi
Los cuentacuentos entretienen a los niños con sus historias.,Las y los cuentacuentos entretienen a los niños con sus historias.,71.02992180127423,plural,GPT-3.5_CaDi
Los cultivadores trabajan en el campo para cosechar alimentos.,Quienes cultivan trabajan en el campo para cosechar alimentos.,75.98356856515926,plural,GPT-3.5_CaDi
Los curanderos utilizan remedios naturales para sanar enfermedades.,La curandería utiliza remedios naturales para sanar enfermedades.,58.73949094699213,plural,GPT-3.5_CaDi
Los decanos son los líderes académicos de las facultades universitarias.,El decanato es el liderazgo académico de las facultades universitarias.,35.08439695638686,plural,GPT-3.5_CaDi
Los declarantes testifican en el juicio sobre lo que presenciaron.,Quienes declaran testifican en el juicio sobre lo que presenciaron.,78.60753021519788,plural,GPT-3.5_CaDi
Los defensores luchan por los derechos de las personas más vulnerables.,La defensa lucha por los derechos de las personas más vulnerables.,71.02992180127423,plural,GPT-3.5_CaDi
Los delegados representan a su país en la conferencia internacional.,Las y los delegados representan a su país en la conferencia internacional.,73.61703354503868,plural,GPT-3.5_CaDi
Los demandantes presentan una demanda ante el tribunal por daños.,La parte demandante presenta una demanda ante el tribunal por daños.,61.32297420585353,plural,GPT-3.5_CaDi
Los demás están invitados a la fiesta de cumpleaños de Juan.,La demás gente está invitada a la fiesta de cumpleaños de Juan.,57.60844201603898,plural,GPT-3.5_CaDi
Los dentistas cuidan de la salud bucal de sus pacientes.,El personal dentista cuida de la salud bucal de sus pacientes.,61.32297420585353,plural,GPT-3.5_CaDi
Los dependientes necesitan ayuda para cargar las cajas pesadas.,Las personas dependientes necesitan ayuda para cargar las cajas pesadas.,78.60753021519788,plural,GPT-3.5_CaDi
Los deportistas entrenan duro para competir en los Juegos Olímpicos.,Las y los deportistas entrenan duro para competir en los Juegos Olímpicos.,73.61703354503868,plural,GPT-3.5_CaDi
Los depositarios son responsables de custodiar los bienes.,Quienes depositan son responsables de custodiar los bienes.,72.59795291154772,plural,GPT-3.5_CaDi
Los desarrolladores crean nuevas aplicaciones para dispositivos móviles.,El equipo desarrollador crea nuevas aplicaciones para dispositivos móviles.,51.697315395717055,plural,GPT-3.5_CaDi
Los desempleados buscan trabajo para poder sustentarse.,Las personas demandantes de empleo buscan trabajo para poder sustentarse.,46.17366309441026,plural,GPT-3.5_CaDi
Los despachadores coordinan la distribución de los productos.,El personal despachador coordina la distribución de los productos.,51.697315395717055,plural,GPT-3.5_CaDi
Los detectives investigan el crimen para resolver el caso.,Las y los detectives investigan el crimen para resolver el caso.,71.02992180127423,plural,GPT-3.5_CaDi
Los diabéticos deben cuidar su dieta y seguir las indicaciones médicas.,Las personas con diabetes deben cuidar su dieta y seguir las indicaciones médicas.,67.67781116542882,plural,GPT-3.5_CaDi
