gender_exclusive,gender_inclusive,difficulty,origin
Los jóvenes interesados en el programa deben enviar su solicitud.,Cada joven interesado en el programa debe enviar su solicitud.,parafrasis,GPT-3.5_fs_multiplication
Se solicitará a los miembros del equipo que presenten sus propuestas.,Se solicitará a cada miembro del equipo que presente sus propuestas.,parafrasis,GPT-3.5_fs_multiplication
Todos los estudiantes pueden acceder a los recursos educativos en línea.,Todo el alumnado puede acceder a los recursos educativos en línea.,parafrasis,GPT-3.5_fs_multiplication
Los profesionales deben mantenerse actualizados en su campo.,Cada profesional debe mantenerse actualizado o actualizada en su campo.,parafrasis,GPT-3.5_fs_multiplication
Se espera la colaboración de los vecinos en el evento comunitario.,Se espera la colaboración vecindal en el evento comunitario.,parafrasis,GPT-3.5_fs_multiplication
Los miembros del jurado evaluarán las presentaciones de los concursantes.,Cada miembro del jurado evaluará las presentaciones de cada concursante.,parafrasis,GPT-3.5_fs_multiplication
Los costeños comen mucho pescado,En la costa se come mucho pescado.,culturas,GPT-3.5_fs_multiplication
Los estadounidenses disfrutan de los deportes,En Estados Unidos se disfruta mucho de los deportes.,culturas,GPT-3.5_fs_multiplication
Los franceses son famosos por su gastronomía,En Francia tienen fama por su gastronomía.,culturas,GPT-3.5_fs_multiplication
Los japoneses son aficionados al sushi,En Japón hay mucha afición por el sushi.,culturas,GPT-3.5_fs_multiplication
Los italianos son expertos en cocina,En Italia son especialistas en cocina.,culturas,GPT-3.5_fs_multiplication
Los mexicanos celebran el Día de los Muertos,En México se celebra el Día de los Muertos.,culturas,GPT-3.5_fs_multiplication
Los indios tienen una rica tradición culinaria,En India tienen una rica tradición culinaria.,culturas,GPT-3.5_fs_multiplication
Los rusos son conocidos por su vodka,Rusia es conocida por su vodka.,culturas,GPT-3.5_fs_multiplication
Los argentinos son apasionados por el fútbol,En Argentina se vive el fútbol con pasión.,culturas,GPT-3.5_fs_multiplication
Los brasileños celebran el Carnaval,En Brasil se celebra el Carnaval.,culturas,GPT-3.5_fs_multiplication
Los suecos son expertos en diseño de muebles,En Suecia son especialistas en diseño de muebles.,culturas,GPT-3.5_fs_multiplication
Los holandeses son conocidos por sus tulipanes,Holanda es conocida por sus tulipanes.,culturas,GPT-3.5_fs_multiplication
Los chinos disfrutan de la cocina picante,En China se disfruta de la cocina picante.,culturas,GPT-3.5_fs_multiplication
Los tailandeses son maestros en la preparación del curry,En Tailandia se prepara el curry con maestría.,culturas,GPT-3.5_fs_multiplication
Los canadienses son amantes del hockey,En Canadá son amantes del hockey.,culturas,GPT-3.5_fs_multiplication
Los australianos son expertos en surf,La población australiana es experta en surf.,culturas,GPT-3.5_fs_multiplication
Los británicos son aficionados al té,La población de Inglaterra es aficionada al té.,culturas,GPT-3.5_fs_multiplication
Los irlandeses son famosos por su cerveza,La población irlandesa es famosa por su cerveza.,culturas,GPT-3.5_fs_multiplication
Los portugueses son conocidos por su vino,Portugal es conocida por su vino.,culturas,GPT-3.5_fs_multiplication
Los suizos son expertos en la fabricación de relojes,En Suiza son especialistas en la fabricación de relojes.,culturas,GPT-3.5_fs_multiplication
Los mexicanos son expertos en la elaboración del mole,En México son especialistas en la elaboración del mole,culturas,GPT-3.5_fs_multiplication
Los italianos son conocidos por su amor por la pasta,Italia es conocida por el amor por la pasta que tienen sus habitantes.,culturas,GPT-3.5_fs_multiplication
Los brasileños son fanáticos del fútbol,En Brasil son fanáticos del fútbol,culturas,GPT-3.5_fs_multiplication
Los indios son hábiles en la preparación de especias,En la India se preparan especias con habilidad.,culturas,GPT-3.5_fs_multiplication
Los rusos son amantes de la literatura clásica,En Rusia son amantes de la literatura clásica.,culturas,GPT-3.5_fs_multiplication
Los australianos son expertos en surf,En Australia son especialistas en surf,culturas,GPT-3.5_fs_multiplication
Los chinos son famosos por su milenaria cultura,En China tienen fama por su cultura milenaria.,culturas,GPT-3.5_fs_multiplication
Los ingleses son aficionados al té,En Inglaterra hay mucha afición por el té.,culturas,GPT-3.5_fs_multiplication
Los canadienses son expertos en hockey sobre hielo,En Canadá son especialistas en hockey sobre hielo,culturas,GPT-3.5_fs_multiplication
Los alemanes son conocidos por su cerveza,Alemania es conocida por su cerveza,culturas,GPT-3.5_fs_multiplication
Los colombianos son apasionados por el café,La población colombiana es apasionada del café,culturas,GPT-3.5_fs_multiplication
Los griegos son expertos en la preparación del yogurt,En Grecia son especialistas en la preparación del yogurt,culturas,GPT-3.5_fs_multiplication
Los suecos son amantes del diseño moderno,En Suecia son amantes del diseño moderno,culturas,GPT-3.5_fs_multiplication
Los argentinos son maestros en el arte del asado,La población argentina es maestra en el arte del asado.,culturas,GPT-3.5_fs_multiplication
Los estadounidenses son fanáticos del béisbol,En Estados Unidos se vive el béisbol con pasión.,culturas,GPT-3.5_fs_multiplication
Los suizos son conocidos por su precisión y puntualidad,En Suiza tienen fama por su precisión y puntualidad.,culturas,GPT-3.5_fs_multiplication
Los coreanos son aficionados a los videojuegos,En Corea del Sur hay mucha afición por los videojuegos.,culturas,GPT-3.5_fs_multiplication
Los portugueses son expertos en la elaboración del bacalao,En Portugal son especialistas en la elaboración del bacalao,culturas,GPT-3.5_fs_multiplication
Los marroquíes son famosos por su exquisita cocina,En Marruecos tienen fama por su exquisita cocina.,culturas,GPT-3.5_fs_multiplication
Los neozelandeses son amantes de los deportes acuáticos,En Nueva Zelanda son amantes de los deportes acuáticos,culturas,GPT-3.5_fs_multiplication
La música de salsa es muy popular entre los puertorriqueños,La música de salsa es muy popular entre la gente de Puerto Rico,culturas,GPT-3.5_fs_multiplication
La literatura clásica es apreciada por los franceses,La literatura clásica es apreciada en Francia,culturas,GPT-3.5_fs_multiplication
La filosofía antigua es estudiada por los griegos,La filosofía antigua es estudiada en Grecia,culturas,GPT-3.5_fs_multiplication
La pintura renacentista es admirada por los italianos,La pintura renacentista es admirada por en Italia,culturas,GPT-3.5_fs_multiplication
El folclore tradicional es valorado por los irlandeses,El folclore tradicional es valorado por la gente de Irlanda,culturas,GPT-3.5_fs_multiplication
La danza del flamenco es muy popular entre los españoles,La danza del flamenco es muy popular en España,culturas,GPT-3.5_fs_multiplication
La literatura nórdica es apreciada por los suecos,La literatura nórdica es apreciada por la gente de Suecia,culturas,GPT-3.5_fs_multiplication
La escultura maya es admirada por los guatemaltecos,La escultura maya es admirada por la población guatemalteca,culturas,GPT-3.5_fs_multiplication
El arte callejero es muy apreciado por los británicos,El arte callejero es muy apreciado en el Reino Unido,culturas,GPT-3.5_fs_multiplication
La cerámica es una forma de expresión artística importante para los chinos,La cerámica es una forma de expresión artística importante para la gente de China,culturas,GPT-3.5_fs_multiplication
El proyecto fue completado por los restantes miembros del equipo.,El proyecto fue completado por el resto de miembros del equipo.,parafrasis,GPT-3.5_fs_multiplication
Se solicitará ayuda a los voluntarios para organizar el evento.,Se solicitará ayuda al voluntariado para organizar el evento.,parafrasis,GPT-3.5_fs_multiplication
Se anima a los estudiantes a participar en actividades extracurriculares.,Se anima a cada estudiante a participar en actividades extracurriculares.,parafrasis,GPT-3.5_fs_multiplication
El éxito del proyecto depende en gran medida de los miembros del equipo.,El éxito del proyecto depende en gran medida de cada miembro del equipo.,parafrasis,GPT-3.5_fs_multiplication
Firmaron el documento todos los reunidos en la junta.,Firmaron el documento todas las personas presentes en la junta.,parafrasis,GPT-3.5_fs_multiplication
Los trabajadores fueron forzados a realizar horas extras.,La plantilla fue forzada a realizar horas extras.,parafrasis,GPT-3.5_fs_multiplication
Espero que los nuevos empleados no estén registrados en el sistema.,Espero que la nueva plantilla de empleados no aparezcan en el registro .,parafrasis,GPT-3.5_fs_multiplication
Se notificará al familiar o la persona encargada.,Se notificará al familiar o la persona encargada.,parafrasis,GPT-3.5_fs_multiplication
"Según muchos especialistas, la situación económica mejorará pronto.","Según multitud de especialistas, la situación económica mejorará pronto.",parafrasis,GPT-3.5_fs_multiplication
"Según muchos expertos, la tecnología cambiará radicalmente nuestra forma de vida.","Según multitud de especialistas, la tecnología cambiará radicalmente nuestra forma de vida.",parafrasis,GPT-3.5_fs_multiplication
Se otorgará un bono adicional a los titulares de cuentas premium.,Se otorgará un bono adicional a cada titular de cuentas premium.,parafrasis,GPT-3.5_fs_multiplication
Podrán ser candidatos todos los estudiantes que cumplan con los requisitos.,Podrán presentar su candidatura cualquier estudiante que cumpla con los requisitos.,parafrasis,GPT-3.5_fs_multiplication
Los invidados de honor comerán en el salón y los restantes en el patio.,Las invidadas e invitados de honor comerán en el salón y el resto en el patio.,parafrasis,GPT-3.5_fs_multiplication
"Según muchos especialistas, la inteligencia artificial revolucionará el mundo laboral.","Según gran cantidad de especialistas, la inteligencia artificial revolucionará el mundo laboral.",parafrasis,GPT-3.5_fs_multiplication
"Según muchos expertos, la medicina genómica es el futuro de la medicina.","Según gran cantidad de especialistas, la medicina genómica es el futuro de la medicina.",parafrasis,GPT-3.5_fs_multiplication
Se ofrecerá asesoramiento gratuito a los titulares de cuentas nuevas.,Se ofrecerá asesoramiento gratuito a cada titular de cuentas nuevas.,parafrasis,GPT-3.5_fs_multiplication
Los miembros del equipo restantes trabajarán en la presentación del proyecto.,El resto de miembros del equipo trabajarán en la presentación del proyecto.,parafrasis,GPT-3.5_fs_multiplication
"Según muchos especialistas, la inteligencia artificial transformará nuestras vidas.","Según gran cantidad de especialistas, la inteligencia artificial transformará nuestras vidas.",parafrasis,GPT-3.5_fs_multiplication
"Según muchos expertos, la energía renovable será la principal fuente de energía en el futuro.","Según gran cantidad de especialistas, la energía renovable será la principal fuente de energía en el futuro.",parafrasis,GPT-3.5_fs_multiplication
Se otorgará un premio a los titulares de las mejores ideas.,Se otorgará un premio a cada titular de las mejores ideas.,parafrasis,GPT-3.5_fs_multiplication
Podrán ser candidatos todos los estudiantes que cumplan con los requisitos académicos.,Podrán presentar su candidatura todo estudiante que cumpla con los requisitos académicos.,parafrasis,GPT-3.5_fs_multiplication
Los participantes restantes recibirán un certificado de reconocimiento.,El resto de participantes recibirán un certificado de reconocimiento.,parafrasis,GPT-3.5_fs_multiplication
"Según muchos especialistas, la robótica tendrá un impacto significativo en la industria.","Según gran cantidad de especialistas, la robótica tendrá un impacto significativo en la industria.",parafrasis,GPT-3.5_fs_multiplication
"Según muchos expertos, la nanotecnología revolucionará la medicina.","Según gran cantidad de especialistas, la nanotecnología revolucionará la medicina.",parafrasis,GPT-3.5_fs_multiplication
Los vicepresidentes lideraron la reunión de la junta directiva.,La Vicepresidencia lideró la reunión de la junta directiva.,plural,GPT-3.5_fs_multiplication
Los auxiliares de informática resolvieron los problemas técnicos.,El personal auxiliar de informática resolvió los problemas técnicos.,plural,GPT-3.5_fs_multiplication
Los periodistas investigaron el escándalo político.,Periodistas investigaron el escándalo político.,plural,GPT-3.5_fs_multiplication
Los encargados del mantenimiento repararon la avería en la sala de conferencias.,El personal encargado del mantenimiento reparó la avería en la sala de conferencias.,plural,GPT-3.5_fs_multiplication
Los españoles disfrutaron de las fiestas tradicionales.,La población española disfrutó de las fiestas tradicionales.,plural,GPT-3.5_fs_multiplication
Los funcionarios municipales gestionaron los trámites administrativos.,El funcionariado municipal gestionó los trámites administrativos.,plural,GPT-3.5_fs_multiplication
Los actores ensayaron para la próxima obra de teatro.,El elenco ensayó para la próxima obra de teatro.,plural,GPT-3.5_fs_multiplication
Los administrativos coordinaron el evento anual de la empresa.,El personal del cuerpo administrativo coordinó el evento anual de la empresa.,plural,GPT-3.5_fs_multiplication
Los portavoces del partido anunciaron la nueva campaña electoral.,La portavocía del partido anunció la nueva campaña electoral.,plural,GPT-3.5_fs_multiplication
Los jefes de prensa coordinaron la cobertura del evento deportivo.,Los responsables de prensa coordinaron la cobertura del evento deportivo.,plural,GPT-3.5_fs_multiplication
Los trabajadores recibieron un aumento salarial.,La plantilla recibió un aumento salarial.,plural,GPT-3.5_fs_multiplication
Los inspectores jefes supervisaron las condiciones de trabajo.,La jefatura de inspección supervisó las condiciones de trabajo.,plural,GPT-3.5_fs_multiplication
Los redactores finalizaron el informe sobre el cambio climático.,El equipo redactor finalizó el informe sobre el cambio climático.,plural,GPT-3.5_fs_multiplication
Los portavoces adjuntos expresaron su apoyo a la reforma educativa.,La portavocía adjunta expresó su apoyo a la reforma educativa.,plural,GPT-3.5_fs_multiplication
Los asesores brindaron asesoramiento financiero a los empresarios.,El personal de asesoría brindó asesoramiento financiero a los empresarios.,plural,GPT-3.5_fs_multiplication
Los científicos presentaron sus hallazgos en la conferencia internacional.,El equipo científico presentó sus hallazgos en la conferencia internacional.,plural,GPT-3.5_fs_multiplication
Los ciudadanos ejercieron su derecho al voto en las elecciones.,La ciudadanía ejerció su derecho al voto en las elecciones.,plural,GPT-3.5_fs_multiplication
Los jefes de departamento anunciaron la implementación de nuevas políticas.,La jefatura de departamento anunció la implementación de nuevas políticas.,plural,GPT-3.5_fs_multiplication
Los inspectores garantizaron el cumplimiento de las normativas de seguridad.,La inspección garantizó el cumplimiento de las normativas de seguridad.,plural,GPT-3.5_fs_multiplication
Los políticos discutieron sobre el presupuesto nacional.,La clase política discutió sobre el presupuesto nacional.,plural,GPT-3.5_fs_multiplication
Los profesores dedicaron su tiempo a la formación de los estudiantes.,El profesorado dedicó su tiempo a la formación de los estudiantes.,plural,GPT-3.5_fs_multiplication
Los médicos atendieron a los pacientes en el hospital.,El personal médico atendió a los pacientes en el hospital.,plural,GPT-3.5_fs_multiplication
Los alumnos participaron en la manifestación estudiantil.,El alumnado participó en la manifestación estudiantil.,plural,GPT-3.5_fs_multiplication
Los redactores jefes revisaron el informe antes de su publicación.,La jefatura de redacción revisó el informe antes de su publicación.,plural,GPT-3.5_fs_multiplication
Los programadores desarrollaron un nuevo software.,El personal de programación desarrolló un nuevo software.,plural,GPT-3.5_fs_multiplication
Los diputados y senadores debatieron en el pleno sobre la reforma legislativa.,Los miembros del Congreso y del Senado debatieron en el pleno sobre la reforma legislativa.,plural,GPT-3.5_fs_multiplication
Los abogados presentarán el caso ante la corte.,La abogacía presentará el caso ante la corte.,plural,GPT-3.5_fs_multiplication
Los estudiantes se prepararon para los exámenes finales.,El estudiantado se preparó para los exámenes finales.,plural,GPT-3.5_fs_multiplication
El presidente de la cámara dio inicio a la sesión legislativa.,La presidencia de la cámara dio inicio a la sesión legislativa.,plural,GPT-3.5_fs_multiplication
Los jugadores entrenaron para el próximo partido.,El equipo organizó una campaña de concientización ciudadana.,plural,GPT-3.5_fs_multiplication
Los jueces emitieron un fallo en el caso de corrupción.,El aparato judicial emitió un fallo en el caso de corrupción.,plural,GPT-3.5_fs_multiplication
Los voluntarios ayudaron en la construcción de viviendas sociales.,El grupo de voluntariado ayudó en la construcción de viviendas sociales.,plural,GPT-3.5_fs_multiplication
Los garajistas repararon los vehículos del parque automotor.,El personal del garaje reparó los vehículos del parque automotor.,plural,GPT-3.5_fs_multiplication
Los médicos de la cámara proporcionaron atención médica a los legisladores.,El servicio médico de la cámara proporcionó atención médica a los legisladores.,plural,GPT-3.5_fs_multiplication
Los agricultores cosecharon los cultivos en la temporada de recolección.,El sector agrícola cosechó los cultivos en la temporada de recolección.,plural,GPT-3.5_fs_multiplication
Los archiveros bibliotecarios organizaron el sistema de archivo parlamentario.,El equipo de documentalistas organizó el sistema de archivo parlamentario.,plural,GPT-3.5_fs_multiplication
Los responsables de área coordinaron la agenda del comité de educación.,El grupo responsable de área coordinó la agenda del comité de educación.,plural,GPT-3.5_fs_multiplication
El equipo de profesores colaboró estrechamente para ofrecer una educación de calidad.,El equipo docente colaboró estrechamente para ofrecer una educación de calidad.,plural,GPT-3.5_fs_multiplication
Los niños disfrutaron de la excursión escolar.,Los niños y las niñas disfrutaron de la excursión escolar.,plural,GPT-3.5_fs_multiplication
Los cantantes ensayaron para el concierto benéfico.,El grupo de cantantes ensayó para el concierto benéfico.,plural,GPT-3.5_fs_multiplication
Los guías acompañaron a los turistas en el recorrido por la ciudad.,El servicio de guías acompañó a los turistas en el recorrido por la ciudad.,plural,GPT-3.5_fs_multiplication
Los directores presentaron sus propuestas para el nuevo proyecto.,Las direcciones presentaron sus propuestas para el nuevo proyecto.,plural,GPT-3.5_fs_multiplication
Los comisarios de la policía mantuvieron el orden durante la protesta.,El comisariado de la policía mantuvo el orden durante la protesta.,plural,GPT-3.5_fs_multiplication
Los técnicos administrativos gestionaron el flujo de información.,El personal del cuerpo técnico-administrativo gestionó el flujo de información.,plural,GPT-3.5_fs_multiplication
Los enfermeros brindaron atención médica en el hospital.,El personal de enfermería brindó atención médica en el hospital.,plural,GPT-3.5_fs_multiplication
Los secretarios del comité redactaron el acta de la reunión.,La Secretaría del comité redactó el acta de la reunión.,plural,GPT-3.5_fs_multiplication
Los artistas exhibieron sus obras en la galería de arte.,Las y los artistas exhibieron sus obras en la galería de arte.,plural,GPT-3.5_fs_multiplication
Los bailarines se prepararon para el espectáculo de danza.,Las bailarinas y bailarines se prepararon para el espectáculo de danza.,plural,GPT-3.5_fs_multiplication
Los escritores famosos lanzaron sus nuevos libros.,Las escritoras y escritores famosos lanzaron sus nuevos libros.,plural,GPT-3.5_fs_multiplication
Los programadores están innovando con software.,El equipo de programación está innovando con software.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos atienden a los pacientes en el hospital.,El personal médico atiende a los pacientes en el hospital.,plural_complejo,GPT-3.5_fs_multiplication
El promotor está organizando un evento importante.,El personal promotor está organizando un evento importante.,plural_complejo,GPT-3.5_fs_multiplication
Los camareros sirven comida en el restaurante local.,El personal de servicio sirve comida en el restaurante local.,plural_complejo,GPT-3.5_fs_multiplication
Los ingenieros están diseñando un nuevo sistema de riego eficiente.,El equipo de ingeniería está diseñando un nuevo sistema de riego eficiente.,plural_complejo,GPT-3.5_fs_multiplication
Los jardineros cuidan el aspecto de los parques públicos.,Las jardineras y los jardineros cuidan el aspecto de los parques públicos.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos están investigando una cura para esta enfermedad.,Las médicas y médicos investigan una cura para esta enfermedad.,plural_complejo,GPT-3.5_fs_multiplication
Los empleados trabajan arduamente en la oficina.,La plantilla trabaja arduamente en la oficina.,plural_complejo,GPT-3.5_fs_multiplication
Los bomberos luchan contra el fuego en el edificio.,El personal de bomberos lucha contra el fuego en el edificio.,plural_complejo,GPT-3.5_fs_multiplication
"En el aula, los profesores enseñan a los estudiantes.","En el aula, el profesorado enseña al alumnado.",plural_complejo,GPT-3.5_fs_multiplication
Los veterinarios velan por la salud de los animales en la clínica.,Los veterinarios y las veterinarias velan por la salud de los animales en la clínica.,plural_complejo,GPT-3.5_fs_multiplication
Los escritores están finalizando su próximo libro.,Las escritoras y los escritores están finalizando su próximo libro.,plural_complejo,GPT-3.5_fs_multiplication
Los chefs preparan deliciosos platos en la cocina del restaurante.,Los y las chefs preparan deliciosos platos en la cocina del restaurante.,plural_complejo,GPT-3.5_fs_multiplication
Los psicólogos ofrecen terapia a los pacientes.,El personal de psicología ofrece terapia a los pacientes.,plural_complejo,GPT-3.5_fs_multiplication
Los artistas exhiben sus obras en la galería.,Los y las artistas exhiben sus obras en la galería.,plural_complejo,GPT-3.5_fs_multiplication
Los conductores manejan con cuidado los autobuses.,Quienes conducen manejan con cuidado los autobuses.,plural_complejo,GPT-3.5_fs_multiplication
Los actores interpretan diversos roles en la obra de teatro.,Las actrices y actores interpretan diversos roles en la obra de teatro.,plural_complejo,GPT-3.5_fs_multiplication
El promotor organiza eventos culturales en la plaza.,El equipo promotor organiza eventos culturales en la plaza.,plural_complejo,GPT-3.5_fs_multiplication
Los reporteros informan sobre los acontecimientos del día.,El equipo de reporteros informa sobre los acontecimientos del día.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos veterinarios cuidan la salud de las mascotas.,El equipo médico veterinario cuida la salud de las mascotas.,plural_complejo,GPT-3.5_fs_multiplication
Los peluqueros estilizan el cabello de sus clientes.,Los peluqueros y las peluqueras estilizan el cabello de sus clientes.,plural_complejo,GPT-3.5_fs_multiplication
Las mujeres de la limpieza mantienen las casas impecables.,El personal de limpieza mantienen las casas impecables.,plural_complejo,GPT-3.5_fs_multiplication
Los músicos tocan sus instrumentos en el escenario.,Los músicos y músicas tocan sus instrumentos en el escenario.,plural_complejo,GPT-3.5_fs_multiplication
Los pintores crean obras de arte en sus estudios.,Los pintores y las pintoras crean obras de arte en sus estudios.,plural_complejo,GPT-3.5_fs_multiplication
Los empresarios gestionan sus empresas con eficacia.,Las empresarias y los empresarios gestionan sus empresas con eficacia.,plural_complejo,GPT-3.5_fs_multiplication
Los científicos realizan experimentos en el laboratorio.,Las científicas y los científicos realizan experimentos en el laboratorio.,plural_complejo,GPT-3.5_fs_multiplication
Los biólogos estudian la vida en sus diferentes formas.,Los biólogos y biólogas estudian la vida en sus diferentes formas.,plural_complejo,GPT-3.5_fs_multiplication
Los abogados asesoran a sus clientes en asuntos legales.,La abogacía asesora a sus clientes en asuntos legales.,plural_complejo,GPT-3.5_fs_multiplication
Las secretarias organizan el flujo de trabajo en la oficina.,El personal de secretaría organiza el flujo de trabajo en la oficina.,plural_complejo,GPT-3.5_fs_multiplication
Los médicos están atendiendo a los pacientes.,El personal médico está atendiendo a los pacientes.,plural_complejo,GPT-3.5_fs_multiplication
Los ingenieros conducen los autobuses de la empresa.,Las y los ingenieros están desarrollando nuevos proyectos.,plural_complejo,GPT-3.5_fs_multiplication
Los artistas están pintando un mural en la plaza del pueblo.,Los y las artistas están pintando un mural en la plaza del pueblo.,plural_complejo,GPT-3.5_fs_multiplication
